model_id,model_name,precision,recall,f1_score,roc_auc,cm_true_negative,cm_false_positive,cm_false_negative,cm_true_positive
logistic_regression,Logistic Regression Baseline,0.7113300492610838,0.7322515212981744,0.7216391804097951,0.7181459626692892,697.0,293.0,264.0,722.0
xgboost,XGBoost Classifier,0.7183383991894631,0.7190669371196755,0.7187024835276229,0.7191294281557972,712.0,278.0,277.0,709.0
